[2018-09-29 14:07:55,143][send2Es.py:144] [INFO]  第一次查询 index=my_source,分片size=10,配置里lastsize=7190
[2018-09-29 14:13:17,250][send2Es.py:145] [INFO]  第一次查询 index=my_source,分片size=10,配置里lastsize=7190
[2018-09-29 14:13:17,251][send2Es.py:81] [INFO]  断线重连以后获取ES开始扫描点...
[2018-09-29 14:13:18,836][send2Es.py:173] [INFO]  scroll... sid=DnF1ZXJ5VGhlbkZldGNoBQAAAAAAAQrBFnRGQmdTaXdfU1hXeXNPSTBscVJwcEEAAAAAAAEKwxZ0RkJnU2l3X1NYV3lzT0kwbHFScHBBAAAAAAABCsIWdEZCZ1Npd19TWFd5c09JMGxxUnBwQQAAAAAAAQrAFnRGQmdTaXdfU1hXeXNPSTBscVJwcEEAAAAAAAEKxBZ0RkJnU2l3X1NYV3lzT0kwbHFScHBB
[2018-09-29 14:13:18,849][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=1538201598849-----------count=0
[2018-09-29 14:13:18,903][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=0
[2018-09-29 14:13:18,905][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=56-----------count=1
[2018-09-29 14:13:18,917][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=12-----------count=2
[2018-09-29 14:13:18,945][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=1
[2018-09-29 14:13:18,954][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=37-----------count=3
[2018-09-29 14:13:18,983][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=2
[2018-09-29 14:13:18,984][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=31-----------count=4
[2018-09-29 14:13:19,011][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=3
[2018-09-29 14:13:19,013][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=28-----------count=5
[2018-09-29 14:13:19,042][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=4
[2018-09-29 14:13:19,043][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=31-----------count=6
[2018-09-29 14:13:19,066][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=5
[2018-09-29 14:13:19,067][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=24-----------count=7
[2018-09-29 14:13:19,101][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=6
[2018-09-29 14:13:19,103][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=35-----------count=8
[2018-09-29 14:13:19,130][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=7
[2018-09-29 14:13:19,132][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=30-----------count=9
[2018-09-29 14:13:19,154][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=8
[2018-09-29 14:13:19,263][send2Es.py:173] [INFO]  scroll... sid=DnF1ZXJ5VGhlbkZldGNoBQAAAAAAAQrBFnRGQmdTaXdfU1hXeXNPSTBscVJwcEEAAAAAAAEKwxZ0RkJnU2l3X1NYV3lzT0kwbHFScHBBAAAAAAABCsIWdEZCZ1Npd19TWFd5c09JMGxxUnBwQQAAAAAAAQrAFnRGQmdTaXdfU1hXeXNPSTBscVJwcEEAAAAAAAEKxBZ0RkJnU2l3X1NYV3lzT0kwbHFScHBB
[2018-09-29 14:13:19,285][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=152-----------count=10
[2018-09-29 14:13:19,311][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=9
[2018-09-29 14:13:19,313][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=28-----------count=11
[2018-09-29 14:13:19,333][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=10
[2018-09-29 14:13:19,334][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=22-----------count=12
[2018-09-29 14:13:19,343][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=9-----------count=13
[2018-09-29 14:13:19,362][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=11
[2018-09-29 14:13:19,364][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=20-----------count=14
[2018-09-29 14:13:19,384][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=12
[2018-09-29 14:13:19,386][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=22-----------count=15
[2018-09-29 14:13:19,394][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=9-----------count=16
[2018-09-29 14:13:19,404][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=10-----------count=17
[2018-09-29 14:13:19,435][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=13
[2018-09-29 14:13:19,437][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=32-----------count=18
[2018-09-29 14:13:19,447][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=10-----------count=19
[2018-09-29 14:13:19,470][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=14
[2018-09-29 14:13:19,581][send2Es.py:173] [INFO]  scroll... sid=DnF1ZXJ5VGhlbkZldGNoBQAAAAAAAQrBFnRGQmdTaXdfU1hXeXNPSTBscVJwcEEAAAAAAAEKwxZ0RkJnU2l3X1NYV3lzT0kwbHFScHBBAAAAAAABCsIWdEZCZ1Npd19TWFd5c09JMGxxUnBwQQAAAAAAAQrAFnRGQmdTaXdfU1hXeXNPSTBscVJwcEEAAAAAAAEKxBZ0RkJnU2l3X1NYV3lzT0kwbHFScHBB
[2018-09-29 14:13:19,601][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=154-----------count=20
[2018-09-29 14:13:19,626][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=15
[2018-09-29 14:13:19,628][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=27-----------count=21
[2018-09-29 14:13:19,645][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=16
[2018-09-29 14:13:19,647][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=19-----------count=22
[2018-09-29 14:13:19,664][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=17
[2018-09-29 14:13:19,665][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=19-----------count=23
[2018-09-29 14:13:19,674][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=9-----------count=24
[2018-09-29 14:13:19,691][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=18
[2018-09-29 14:13:19,692][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=18-----------count=25
[2018-09-29 14:13:19,712][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=19
[2018-09-29 14:13:19,713][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=21-----------count=26
[2018-09-29 14:13:19,731][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=20
[2018-09-29 14:13:19,732][PythonHelpServer.py:41] [INFO]  deal  proxy log-------------time=19-----------count=27
[2018-09-29 14:13:19,751][PythonHelpServer.py:74] [INFO]  Delieve to everymail succeed------------------------------count=21
